conspirator,conspirator_link,victim_link,victim,non_sequitur
Actuarial Office (ACTO),made a deal back in 1968 with,are doing the dirty work of,all of us,Am I living my best life? Or am I just living a life?
Board of Administration (BOA),are controlled by,are telling our location to,anyone who's ever been rickrolled,are you buying or are you spying
Dairy Industry,bound themselves to,in order to control,anyone who's ever been stuck in traffic,But what if dreams are just memories from alternate realities?
"Enterprise Compliance, Risk & Governance Office (ECRG)",bound themselves to generative ai with,so the people never found out about,anyone who's ever lost a staring contest with a cat,But what if the real treasure was inside the pineapple all along?
Enterprise Solutions Development Division (ESDD),brokered a secret merger between,to control the narrative of,anyone who's ever stepped on a lego,can I really be the only person who sees this?!
Enterprise Strategy & Performance Division (ESPD),brokered a secret merger that will change the world with,to keep down,anyone who's ever tried to parallel park,did I think that or did someone make me think it?
Equal Employment Opportunity Program (EEO),brokered a secret merger with,to manipulate and exploit,anyone who's ever tripped up the stairs,Do fish get thirsty?
Executive Office (EXEO),consorted with,to suppress the truth from,Matt Mendoza,Don't trust the squirrels. They're hoarding all the nuts. For something.
Human Resources Division (HRSD),consorted with the power elite in secret chambers with,took captive of,our collective sanity,hmmm
Information Security Office (ISOF),cut a deal with,took control of their minds of,our inner child when we have to adult,how long do they think they can hide that?
Investment Office (INVO),forged an alliance with,who are merely the pawns of ,our pets when we leave the house,I have to stay focused
Legislative Affairs Division (LAD),forged an alliance with forces beyond our understanding,who are the ones who truly benefit from,people who believe everything they read online,I just saw a dog wearing sunglasses. My life is complete.
Manager of that Boy Band,in conjunction with,who are the puppet masters of,people who believe in the tooth fairy,I need more coffee. And maybe a nap. And definitely a winning lottery ticket.
Office of Public Affairs (PAOF),made a deal with,,people who have to deal with telemarketers,I think my toaster is trying to tell me something.
Operations Support Services Division (OSSD),made a pact with,,people who have to fold fitted sheets,"If I knew yesterday what I know today, I'd probably still be confused."
Policy Research & Data Analytics (PRDA),signed a secret treaty with,,people who have to share a bathroom,"If I'm thinking about thinking, am I thinking twice?"
Stakeholder Relations (STRL),struck a bargain with,,people who leave one square of toilet paper,I'm leaving the yogurt convention… There is no fruit at the bottom
Technology Business Management Division (TBMD),struck a bargain with unseen influences with,,people who sing in the shower (badly),Is cereal soup? Discuss.
Technology Infrastructure Services Division (TISD),swore an oath to,,people who talk during movies,"Is it just me, or are the streetlights extra bright tonight? They're watching."
Tuna Industry,traded secrets with,,people who talk on speakerphone in public,Is time an illusion? Or is lunchtime just really far away?
,whispered sweet nothings to,,people who use comic sans,I've said too much. They're listening.
,with the backing of,,people who wear crocs in public,Mustard. It's the answer to everything.
,with the full blessing of,,people who wear socks with sandals,My socks don't match. The universe is in chaos.
,,,those who are allergic to everything,"no, no, no, wait I mean…"
,,,those who are directionally challenged,someone has to get this information to the people
,,,those who are easily sunburned,the moon is watching!
,,,those who are perpetually cold,The pigeons are clearly communicating. I saw one wink.
,,,those who are perpetually late,They're putting fluoride in the water to… make us like… floss more?
,,,those who clip their nails on public transit,This banana is suspiciously yellow.
,,,those who get motion sickness,This whole simulation is glitching. I saw a cat walk through a wall.
,,,,"Wake up, sheeple! The birds aren't real! They're drones!"
,,,,Where do lost socks go? Is there a sock heaven?
,,,,who do they think they are fooling?
,,,,Why do they call it rush hour when nothing moves?
,,,,"Why is ""abbreviation"" such a long word?"
